FECHA	BCOLO CB Equity	ELCONDOR CB Equity	CONCONC CB Equity	PFBCOLO CB Equity	GRUPOSUR CB Equity	PFGRUPSU CB Equity	ISA CB Equity	EXITO CB Equity	NUTRESA CB Equity	GRUPOARG CB Equity	CEMARGOS CB Equity	PFGRUPOA CB Equity	PFCEMARG CB Equity	ETB CB Equity	PFAVH CB Equity	CELSIA CB Equity	BVC CB Equity	ECOPETL CB Equity	BOGOTA CB Equity	GEB CB Equity	PFDAVVND CB Equity	CORFICOL CB Equity	PFAVAL CB Equity	PFCORCOL CB Equity	PFCARPAK CB Equity	MINEROS CB Equity	CNEC CB Equity	FABRI CB Equity	AVAL CB Equity	ENKA CB Equity	VALSIME CB Equity	CLH CB Equity
17/05/2021	28960	1000	414.9	29300	19780	18000	21500	12300	22700	11280	5405	8920	3922	214.9	128	4400	11700	2387	74500	2640	31200	30700	1115	25600	5326.13	4315	10130	4.24	1110	16.11	4761.11	3860
18/05/2021	28400	1000	395	28400	19610	17700	20820	12300	22400	11000	5390	8920	3922	214.9	128	4370	11750	2355	74300	2620	30100	30600	1100	25600	5326.13	4280	9940	4.93	1110	15.71	4761.11	3750
19/05/2021	28250	1000	394.5	28280	19500	17820	21100	11860	22260	10700	5350	8980	3984	214.9	128	4450	11720	2347	73660	2623	29980	30270	1089	25500	5326.13	4280	10160	4.8	1030	15.71	4761.11	3765
20/05/2021	27880	1000	380	28120	19980	17700	21000	11850	22400	10980	5330	8600	3852	209.9	128	4360	11600	2314	72500	2520	29990	29500	1090	25500	5326.13	4280	9990	4.8	1030	15.71	4761.11	3760
21/05/2021	27710	1000	380	27700	19830	17730	20990	11850	21780	10780	5215	8620	3834	209.9	128	4363	11690	2285	70400	2504	30090	29460	1105	25500	5326.13	4200	10100	5.09	1035	15.6	4761.11	3750
24/05/2021	27400	1000	380	27600	19100	17340	20660	11790	21400	10380	5095	8620	3742	202	136	4230	11650	2294	68500	2470	29770	29100	1088	24600	5326.13	4200	10160	5.09	1080	15.27	4761.11	3700
25/05/2021	27490	1000	385	27300	19010	17040	20200	11500	20900	9915	5040	8280	3660	200	136	4180	11650	2235	68480	2341	29630	28100	1080	24600	5326.13	4200	10100	5.09	1080	15.02	4626.32	3700
26/05/2021	27200	1000	385	27390	18700	16900	19600	11490	20880	9910	5090	8000	3659	200	136	4070	11630	2220	67000	2340	28600	27980	1051	24590	5326.13	4146	10140	5.09	1072	15.12	4626.32	3800
27/05/2021	27500	1000	370	28200	19150	16880	20500	11680	20500	9000	5000	7200	3294	208	150	3765	11500	2220	67500	2165	28100	28210	1053	24000	5326.13	3836	10280	5.09	1022	15.24	4626.32	3800
28/05/2021	27300	1000	375	27940	20350	17450	20650	12000	21020	10270	5080	7990	3560	208	150	4176	11490	2211	69760	2300	28900	28580	1066	23060	5326.13	3966	10060	5.09	1050	15.34	4626.32	3700
31/05/2021	27000	1000	380	27600	20020	17600	20020	12000	21600	10100	5070	8000	3691	208	150	4176	11400	2190	70000	2329	29000	28230	1078	23060	5326.13	4086	10270	5.09	1040	15.32	4626.32	3700
1/06/2021	27710	1000	390	28190	20300	18000	20510	12000	21960	10220	5100	8160	3691	210.9	150	4245	11500	2276	71340	2350	29700	28280	1075	23000	5326.13	4084	10060	5.09	1070	15.32	4626.32	3790
