FECHA;BCOLO CB Equity;ELCONDOR CB Equity;CONCONC CB Equity;PFBCOLO CB Equity;GRUPOSUR CB Equity;PFGRUPSU CB Equity;ISA CB Equity;EXITO CB Equity;NUTRESA CB Equity;GRUPOARG CB Equity;CEMARGOS CB Equity;PFGRUPOA CB Equity;PFCEMARG CB Equity;ETB CB Equity;PFAVH CB Equity;CELSIA CB Equity;BVC CB Equity;ECOPETL CB Equity;BOGOTA CB Equity;GEB CB Equity;PFDAVVND CB Equity;CORFICOL CB Equity;PFAVAL CB Equity;PFCORCOL CB Equity;PFCARPAK CB Equity;MINEROS CB Equity;CNEC CB Equity;FABRI CB Equity;AVAL CB Equity;ENKA CB Equity;VALSIME CB Equity;CLH CB Equity
1/07/2021;26080,00;940,00;350,00;26700,00;18300,00;16500,00;22620,00;13440,00;21800,00;10100,00;5460,00;8255,00;3869,00;208,90;285,37;4166,00;11300,00;2819,00;70500,00;2579,00;28010,00;29300,00;1095,00;23990,00;5326,13;4024,00;10150,00;4,27;1139,00;14,60;4626,32;3600,00
2/07/2021;27500,00;940,00;379,80;28000,00;18890,00;17000,00;23500,00;13290,00;22640,00;10500,00;5500,00;8300,00;3868,00;207,00;267,25;4170,00;11290,00;2851,00;70370,00;2541,00;28720,00;29730,00;1092,00;23500,00;5326,13;4024,00;10240,00;4,27;1030,00;14,60;4626,32;3700,00
5/07/2021;27500,00;940,00;379,80;28000,00;18890,00;17000,00;23500,00;13290,00;22640,00;10500,00;5500,00;8300,00;3868,00;207,00;267,25;4170,00;11290,00;2851,00;70370,00;2541,00;28720,00;29730,00;1092,00;23500,00;5326,13;4024,00;10240,00;4,27;1030,00;14,60;4626,32;3700,00
6/07/2021;27010,00;940,00;379,80;27400,00;18710,00;16810,00;23000,00;12700,00;22310,00;10590,00;5440,00;8495,00;3841,00;207,00;267,25;4190,00;11140,00;2789,00;69000,00;2507,00;28220,00;30000,00;1086,00;23940,00;5326,13;4050,00;10200,00;4,27;1030,00;14,60;4626,32;3500,00
7/07/2021;27600,00;940,00;379,80;28200,00;19300,00;17260,00;23200,00;12700,00;22200,00;10510,00;5540,00;8495,00;3901,00;207,00;267,25;4127,00;11140,00;2800,00;71000,00;2518,00;28640,00;29970,00;1095,00;23920,00;5326,13;4028,00;10240,00;4,27;1030,00;14,60;4626,32;3500,00
8/07/2021;27610,00;860,00;395,00;28310,00;19180,00;17110,00;23370,00;12500,00;22110,00;10500,00;5550,00;8435,00;3815,00;203,00;300,08;4179,00;11060,00;2753,00;70980,00;2514,00;29350,00;29980,00;1091,00;23000,00;5326,13;4005,00;10350,00;4,38;1030,00;14,60;4626,32;3500,00
9/07/2021;28100,00;900,00;395,00;28810,00;19510,00;17380,00;23350,00;12540,00;22130,00;10420,00;5620,00;8450,00;3900,00;200,00;300,08;4159,00;11140,00;2761,00;70960,00;2517,00;29550,00;29910,00;1100,00;23800,00;5326,13;4015,00;10300,00;4,38;1088,00;14,60;4626,32;3500,00
12/07/2021;28180,00;900,00;395,00;28800,00;19770,00;17400,00;23810,00;12500,00;21990,00;10550,00;5620,00;8400,00;3900,00;200,50;300,08;4202,00;11200,00;2750,00;71000,00;2519,00;29850,00;30450,00;1115,00;23990,00;5326,13;4015,00;10300,00;4,38;1090,00;14,60;4626,32;3500,00
13/07/2021;28070,00;900,00;390,00;28700,00;19640,00;17400,00;23800,00;12370,00;21860,00;10450,00;5620,00;8350,00;3900,00;200,50;300,00;4202,00;11270,00;2720,00;71490,00;2520,00;29900,00;30260,00;1115,00;23990,00;5326,13;3998,00;10300,00;4,38;1060,00;14,10;4626,32;3500,00
14/07/2021;28100,00;900,00;389,70;28610,00;19640,00;17300,00;23530,00;12320,00;21920,00;10520,00;5580,00;8310,00;3900,00;200,50;300,00;4200,00;11200,00;2650,00;71290,00;2515,00;29900,00;30060,00;1097,00;23990,00;5326,13;4020,00;10100,00;4,38;1060,00;14,10;4626,32;3500,00
