FECHA; BCOLO CB Equity ; ELCONDOR CB Equity ; CONCONC CB Equity ; PFBCOLO CB Equity ; GRUPOSUR CB Equity ; PFGRUPSU CB Equity ; ISA CB Equity ; EXITO CB Equity ; NUTRESA CB Equity ; GRUPOARG CB Equity ; CEMARGOS CB Equity ; PFGRUPOA CB Equity ; PFCEMARG CB Equity ; ETB CB Equity ; PFAVH CB Equity ; CELSIA CB Equity ; BVC CB Equity ; ECOPETL CB Equity ; BOGOTA CB Equity ; GEB CB Equity ; PFDAVVND CB Equity ; CORFICOL CB Equity ; PFAVAL CB Equity ; PFCORCOL CB Equity ; PFCARPAK CB Equity ; MINEROS CB Equity ; CNEC CB Equity ; FABRI CB Equity ; AVAL CB Equity ; ENKA CB Equity ; VALSIME CB Equity ; CLH CB Equity 
6-oct-21; $ 33.000,00 ; $ 910,00 ; $ 358,20 ; $ 32.840,00 ; $ 22.180,00 ; $ 18.800,00 ; $ 22.870,00 ; $ 11.500,00 ; $ 21.800,00 ; $ 11.400,00 ; $ 6.100,00 ; $ 8.450,00 ; $ 4.150,00 ; $ 198,90 ; $ 52,16 ; $ 4.270,00 ; $ 9.730,00 ; $ 2.810,00 ; $ 73.490,00 ; $ 2.882,00 ; $ 33.280,00 ; $ 29.200,00 ; $ 1.127,00 ; $ 23.640,00 ; $ 5.865,41 ; $ 3.900,00 ; $ 11.750,00 ; $ 6,25 ; $ 1.100,00 ; $ 21,50 ; $ 5.855,25 ; $ 3.598,00 
7-oct-21; $ 33.480,00 ; $ 932,90 ; $ 371,00 ; $ 33.390,00 ; $ 22.070,00 ; $ 19.020,00 ; $ 22.620,00 ; $ 11.910,00 ; $ 21.890,00 ; $ 11.500,00 ; $ 6.250,00 ; $ 8.495,00 ; $ 4.265,00 ; $ 198,90 ; $ 52,16 ; $ 4.325,00 ; $ 9.880,00 ; $ 2.860,00 ; $ 74.300,00 ; $ 2.860,00 ; $ 33.570,00 ; $ 29.310,00 ; $ 1.138,00 ; $ 24.000,00 ; $ 5.865,41 ; $ 3.850,00 ; $ 12.040,00 ; $ 6,25 ; $ 1.120,00 ; $ 21,50 ; $ 5.855,25 ; $ 3.689,00 
8-oct-21; $ 33.400,00 ; $ 900,00 ; $ 366,00 ; $ 33.390,00 ; $ 22.020,00 ; $ 18.950,00 ; $ 22.650,00 ; $ 11.930,00 ; $ 22.080,00 ; $ 11.660,00 ; $ 6.325,00 ; $ 8.740,00 ; $ 4.390,00 ; $ 198,90 ; $ 51,19 ; $ 4.338,00 ; $ 9.880,00 ; $ 2.908,00 ; $ 73.800,00 ; $ 2.885,00 ; $ 33.580,00 ; $ 29.400,00 ; $ 1.140,00 ; $ 24.000,00 ; $ 5.865,41 ; $ 3.870,00 ; $ 12.160,00 ; $ 6,27 ; $ 1.123,00 ; $ 21,51 ; $ 5.855,25 ; $ 3.685,00 
11-oct-21; $ 33.330,00 ; $ 917,90 ; $ 365,20 ; $ 33.300,00 ; $ 21.970,00 ; $ 18.910,00 ; $ 22.820,00 ; $ 11.980,00 ; $ 22.070,00 ; $ 11.900,00 ; $ 6.380,00 ; $ 8.805,00 ; $ 4.385,00 ; $ 198,00 ; $ 51,19 ; $ 4.410,00 ; $ 9.900,00 ; $ 2.944,00 ; $ 73.700,00 ; $ 2.890,00 ; $ 33.770,00 ; $ 29.590,00 ; $ 1.136,00 ; $ 24.000,00 ; $ 5.865,41 ; $ 3.830,00 ; $ 12.240,00 ; $ 6,27 ; $ 1.123,00 ; $ 21,51 ; $ 5.855,25 ; $ 3.700,00 
12-oct-21; $ 32.520,00 ; $ 917,90 ; $ 373,00 ; $ 32.600,00 ; $ 21.500,00 ; $ 18.560,00 ; $ 22.500,00 ; $ 11.940,00 ; $ 21.810,00 ; $ 11.750,00 ; $ 6.250,00 ; $ 8.635,00 ; $ 4.373,00 ; $ 197,90 ; $ 51,19 ; $ 4.380,00 ; $ 9.895,00 ; $ 2.904,00 ; $ 73.330,00 ; $ 2.899,00 ; $ 33.030,00 ; $ 29.410,00 ; $ 1.130,00 ; $ 23.900,00 ; $ 5.865,41 ; $ 3.816,00 ; $ 12.000,00 ; $ 6,27 ; $ 1.123,00 ; $ 21,51 ; $ 5.510,18 ; $ 3.835,00 
13-oct-21; $ 33.180,00 ; $ 900,00 ; $ 330,00 ; $ 33.150,00 ; $ 21.580,00 ; $ 18.550,00 ; $ 22.430,00 ; $ 11.940,00 ; $ 21.920,00 ; $ 11.790,00 ; $ 6.370,00 ; $ 8.600,00 ; $ 4.340,00 ; $ 194,00 ; $ 51,19 ; $ 4.370,00 ; $ 9.890,00 ; $ 2.909,00 ; $ 73.330,00 ; $ 2.896,00 ; $ 33.500,00 ; $ 29.500,00 ; $ 1.132,00 ; $ 23.900,00 ; $ 5.865,41 ; $ 3.805,00 ; $ 11.950,00 ; $ 6,27 ; $ 1.123,00 ; $ 21,51 ; $ 5.510,18 ; $ 3.890,00 
14-oct-21; $ 34.380,00 ; $ 900,00 ; $ 272,00 ; $ 34.200,00 ; $ 22.120,00 ; $ 18.800,00 ; $ 22.790,00 ; $ 11.800,00 ; $ 22.290,00 ; $ 12.070,00 ; $ 6.325,00 ; $ 8.600,00 ; $ 4.440,00 ; $ 200,00 ; $ 51,19 ; $ 4.380,00 ; $ 10.000,00 ; $ 2.918,00 ; $ 73.000,00 ; $ 2.927,00 ; $ 34.550,00 ; $ 29.590,00 ; $ 1.138,00 ; $ 22.600,00 ; $ 5.865,41 ; $ 3.811,00 ; $ 12.200,00 ; $ 6,27 ; $ 1.129,00 ; $ 22,45 ; $ 5.510,18 ; $ 3.886,00 
15-oct-21; $ 34.560,00 ; $ 899,00 ; $ 295,70 ; $ 34.600,00 ; $ 22.650,00 ; $ 19.050,00 ; $ 22.750,00 ; $ 11.740,00 ; $ 22.300,00 ; $ 12.090,00 ; $ 6.400,00 ; $ 8.790,00 ; $ 4.465,00 ; $ 199,80 ; $ 51,19 ; $ 4.300,00 ; $ 9.815,00 ; $ 2.960,00 ; $ 73.990,00 ; $ 2.921,00 ; $ 34.500,00 ; $ 29.600,00 ; $ 1.155,00 ; $ 22.600,00 ; $ 5.865,41 ; $ 3.820,00 ; $ 12.040,00 ; $ 6,27 ; $ 1.139,00 ; $ 22,50 ; $ 5.510,18 ; $ 3.900,00 
19-oct-21; $ 34.130,00 ; $ 900,00 ; $ 310,00 ; $ 34.200,00 ; $ 22.250,00 ; $ 19.020,00 ; $ 22.500,00 ; $ 11.780,00 ; $ 22.280,00 ; $ 12.070,00 ; $ 6.300,00 ; $ 8.770,00 ; $ 4.441,00 ; $ 195,20 ; $ 51,19 ; $ 4.300,00 ; $ 10.000,00 ; $ 2.953,00 ; $ 74.270,00 ; $ 2.929,00 ; $ 34.210,00 ; $ 29.560,00 ; $ 1.140,00 ; $ 23.550,00 ; $ 5.865,41 ; $ 3.850,00 ; $ 11.850,00 ; $ 6,27 ; $ 1.132,00 ; $ 22,50 ; $ 5.510,18 ; $ 3.617,00 
20-oct-21; $ 34.230,00 ; $ 901,50 ; $ 306,00 ; $ 34.140,00 ; $ 22.500,00 ; $ 18.890,00 ; $ 22.690,00 ; $ 11.700,00 ; $ 21.980,00 ; $ 11.880,00 ; $ 6.250,00 ; $ 8.680,00 ; $ 4.344,00 ; $ 198,00 ; $ 67,94 ; $ 4.330,00 ; $ 10.000,00 ; $ 2.937,00 ; $ 73.790,00 ; $ 2.917,00 ; $ 34.030,00 ; $ 29.560,00 ; $ 1.145,00 ; $ 23.540,00 ; $ 5.865,41 ; $ 3.885,00 ; $ 11.920,00 ; $ 6,27 ; $ 1.124,00 ; $ 22,50 ; $ 5.510,18 ; $ 3.550,00 
